variableName1,variableName2,codedName,reverseCoding,tidyDataPart
Response ID,,responseID,,T
IP Address,,IPAddress,,
Timestamp (MM/dd/yyyy),,startTime,,
Duplicate,,duplicate,,
Time Taken to Complete (Seconds),,timeTaken,,
Seq. Number,,seqNumber,,
External Reference,,extReferences,,
Custom Variable 1,,custV1,,
Custom Variable 2,,custV2,,
Custom Variable 3,,custV3,,
Custom Variable 4,,custV4,,
Custom Variable 5,,custV5,,
Respondent Email,,referenceMail,,
Email List,,referenceGroup,,
Country Code,,countryCode,,
Region,,region,,
"Thank you for agreeing to take part in this important survey measuring an organization's networks for innovation. In this survey, we capture opinions on individual interactions that enable innovation. This data would be used as part of a dissertation thesis to understand the factors of individual interactions that contribute to an organization's innovation. The following information is captured in this survey

1. How an individual interacts with other people with respect to idea/information exchange
2. How the organization supports social interaction and exchange of information
3. An individual's motivation to exchange idea/information
4. How the individual perceives that the idea/information exchange helps the organization to innovate

Your co-operation in completing this questionnaire is central to the success of this research project. It should take 30 minutes to complete.

You may respond with complete frankness; all your answers will remain absolutely confidential, only summary results and analysis will be published. The aggregate results produced will not make it possible to distinguish specific organizations or individuals. Individual responses, respondent’s details and the organization’s details WILL NOT be revealed.
 
Your assistance in this matter is very much appreciated. Should you have any queries, please do not hesitate to contact me.

 
I sincerely thank you for your time and participation in this study
 ",,intro,,
"Section I – About your social interactions

Below are different sets of statements that are intended to collect information about your social interactions. Please select the option that best represents your opinion Number of individuals who provide you important information and/or enable you to be innovative (technology, operational, business or industry trends).",,SICount,,T
"We seek your opinion on social interactions with three key individuals who enable you to be innovative (idea generation, creative, out of the box thinking etc.). You may respond with complete frankness; all your answers will remain absolutely confidential.",,SIIntro,,T
 Enter the initials/name of the first Individual,,SIName1,,T
 I consider this individual to be a ,I consider this individual to be a ,SICloseness1,,T
 This individual is my (select multiple),Manager,SIRelationManager1,,T
,Colleague,SIRelationColleague1,,T
,Subordinate,SIRelationSubordinate1,,T
,Family,SIRelationFamily1,,T
,Mentor/ Coach / Thought leader,SIRelationMentor1,,T
,Neighbor,SIRelationNeighbor1,,T
 I interact with this person to received information or advice,I interact with this person to received information or advice,SIFrequency1,,T
 The topics discussed with this individual (select multiple),Politics,SITopicPolitics1,,T
,Local events,SITopicLocalEvents1,,T
,Work,SITopicWork1,,T
,Friends,SITopicFriends1,,T
,Leisure,SITopicLeisure1,,T
,Family,SITopicFamily1,,T
" Amount of information relevant to innovation (product/service, process, operations) received from this source","Amount of information relevant to innovation (product/service, process, operations) received from this source",SIExchangeDepth1,,T
 Extent to which the information received from this source is different from the information you already have,Extent to which the information received from this source is different from the information you already have,SIUniqueness1,,T
" Number of organization, groups and communities you are both members of","Number of organization, groups and communities you are both members of",SICommunityOverlap1,,T
 I have known this individual for (in months),,SIDurationMonth1,,T
 Time spent (in minutes) on average (per interaction) in gathering information from this person,,SITimeMinutes1,,T
 Enter the initials/name of the second Individual,,SIName2,,T
 I consider this individual to be a,I consider this individual to be a,SICloseness2,,T
 This individual is my (select multiple),Manager,SIRelationManager2,,T
,Colleague,SIRelationColleague2,,T
,Subordinate,SIRelationSubordinate2,,T
,Family,SIRelationFamily2,,T
,Mentor/ Coach / Thought leader,SIRelationMentor2,,T
,Neighbor,SIRelationNeighbor2,,T
 I interact with this person to received information or advice,I interact with this person to received information or advice,SIFrequency2,,T
 The topics discussed with this individual (select multiple),Politics,SITopicPolitics2,,T
,Local events,SITopicLocalEvents2,,T
,Work,SITopicWork2,,T
,Friends,SITopicFriends2,,T
,Leisure,SITopicLeisure2,,T
,Family,SITopicFamily2,,T
" Amount of information relevant to innovation (product/service, process, operations) received from this source","Amount of information relevant to innovation (product/service, process, operations) received from this source",SIExchangeDepth2,,T
 Extent to which the information received from this source is different from the information you already have,Extent to which the information received from this source is different from the information you already have,SIUniqueness2,,T
" Number of organization, groups and communities you are both members of","Number of organization, groups and communities you are both members of",SICommunityOverlap2,,T
 I have known this individual for (in months),,SIDurationMonth2,,T
